"bin_index","bin_from","bin_to","interpolation","interval_type"
188,0.000357,0.000362,0.0003595,1201
189,0.000362,0.000367,0.0003645,1201
190,0.000367,0.000372,0.0003695,1201
191,0.000372,0.000377,0.0003745,1201
192,0.000377,0.000382,0.0003795,1201
193,0.000382,0.000388,0.000385,1201
194,0.000388,0.000393,0.0003905,1201
195,0.000393,0.000399,0.000396,1201
196,0.000399,0.000404,0.0004015,1201
197,0.000404,0.00041,0.000407,1201
198,0.00041,0.000416,0.000413,1201
199,0.000416,0.000421,0.0004185,1201
200,0.000421,0.000427,0.000424,1201
201,0.000427,0.000433,0.00043,1201
202,0.000433,0.000439,0.000436,1201
203,0.000439,0.000445,0.000442,1201
204,0.000445,0.000451,0.000448,1201
205,0.000451,0.000458,0.0004545,1201
206,0.000458,0.000464,0.000461,1201
207,0.000464,0.000471,0.0004675,1201
208,0.000471,0.000477,0.000474,1201
209,0.000477,0.000484,0.0004805,1201
210,0.000484,0.000491,0.0004875,1201
211,0.000491,0.000497,0.000494,1201
212,0.000497,0.000504,0.0005005,1201
213,0.000504,0.000511,0.0005075,1201
214,0.000511,0.000518,0.0005145,1201
215,0.000518,0.000526,0.000522,1201
216,0.000526,0.000533,0.0005295,1201
217,0.000533,0.00054,0.0005365,1201
218,0.00054,0.000548,0.000544,1201
219,0.000548,0.000556,0.000552,1201
220,0.000556,0.000563,0.0005595,1201
221,0.000563,0.000571,0.000567,1201
222,0.000571,0.000579,0.000575,1201
223,0.000579,0.000587,0.000583,1201
224,0.000587,0.000595,0.000591,1201
225,0.000595,0.000604,0.0005995,1201
226,0.000604,0.000612,0.000608,1201
227,0.000612,0.000621,0.0006165,1201
228,0.000621,0.000629,0.000625,1201
229,0.000629,0.000638,0.0006335,1201
230,0.000638,0.000647,0.0006425,1201
231,0.000647,0.000656,0.0006515,1201
232,0.000656,0.000665,0.0006605,1201
233,0.000665,0.000674,0.0006695,1201
234,0.000674,0.000684,0.000679,1201
235,0.000684,0.000693,0.0006885,1201
236,0.000693,0.000703,0.000698,1201
237,0.000703,0.000713,0.000708,1201
238,0.000713,0.000723,0.000718,1201
239,0.000723,0.000733,0.000728,1201
240,0.000733,0.000743,0.000738,1201
241,0.000743,0.000753,0.000748,1201
242,0.000753,0.000764,0.0007585,1201
243,0.000764,0.000774,0.000769,1201
244,0.000774,0.000785,0.0007795,1201
245,0.000785,0.000796,0.0007905,1201
246,0.000796,0.000807,0.0008015,1201
247,0.000807,0.000818,0.0008125,1201
248,0.000818,0.00083,0.000824,1201
249,0.00083,0.000841,0.0008355,1201
250,0.000841,0.000853,0.000847,1201
251,0.000853,0.000865,0.000859,1201
252,0.000865,0.000877,0.000871,1201
253,0.000877,0.000889,0.000883,1201
254,0.000889,0.000901,0.000895,1201
255,0.000901,0.000914,0.0009075,1201
256,0.000914,0.000927,0.0009205,1201
257,0.000927,0.00094,0.0009335,1201
258,0.00094,0.000953,0.0009465,1201
259,0.000953,0.000966,0.0009595,1201
260,0.000966,0.000979,0.0009725,1201
261,0.000979,0.000993,0.000986,1201
262,0.000993,0.001007,0.001,1201
263,0.001007,0.001021,0.001014,1201
264,0.001021,0.001035,0.001028,1201
265,0.001035,0.00105,0.0010425,1201
266,0.00105,0.001064,0.001057,1201
267,0.001064,0.001079,0.0010715,1201
268,0.001079,0.001094,0.0010865,1201
269,0.001094,0.001109,0.0011015,1201
270,0.001109,0.001125,0.001117,1201
271,0.001125,0.00114,0.0011325,1201
272,0.00114,0.001156,0.001148,1201
273,0.001156,0.001172,0.001164,1201
274,0.001172,0.001189,0.0011805,1201
275,0.001189,0.001205,0.001197,1201
276,0.001205,0.001222,0.0012135,1201
277,0.001222,0.001239,0.0012305,1201
278,0.001239,0.001256,0.0012475,1201
279,0.001256,0.001274,0.001265,1201
280,0.001274,0.001292,0.001283,1201
281,0.001292,0.00131,0.001301,1201
282,0.00131,0.001328,0.001319,1201
283,0.001328,0.001346,0.001337,1201
284,0.001346,0.001365,0.0013555,1201
285,0.001365,0.001384,0.0013745,1201
286,0.001384,0.001403,0.0013935,1201
287,0.001403,0.001423,0.001413,1201
288,0.001423,0.001443,0.001433,1201
289,0.001443,0.001463,0.001453,1201
290,0.001463,0.001483,0.001473,1201
291,0.001483,0.001504,0.0014935,1201
292,0.001504,0.001525,0.0015145,1201
293,0.001525,0.001546,0.0015355,1201
294,0.001546,0.001567,0.0015565,1201
295,0.001567,0.001589,0.001578,1201
296,0.001589,0.001611,0.0016,1201
297,0.001611,0.001634,0.0016225,1201
298,0.001634,0.001657,0.0016455,1201
299,0.001657,0.00168,0.0016685,1201
300,0.00168,0.001703,0.0016915,1201
301,0.001703,0.001727,0.001715,1201
302,0.001727,0.001751,0.001739,1201
303,0.001751,0.001775,0.001763,1201
304,0.001775,0.0018,0.0017875,1201
305,0.0018,0.001825,0.0018125,1201
306,0.001825,0.00185,0.0018375,1201
307,0.00185,0.001876,0.001863,1201
308,0.001876,0.001902,0.001889,1201
309,0.001902,0.001929,0.0019155,1201
310,0.001929,0.001956,0.0019425,1201
311,0.001956,0.001983,0.0019695,1201
312,0.001983,0.00201,0.0019965,1201
313,0.00201,0.002038,0.002024,1201
314,0.002038,0.002067,0.0020525,1201
315,0.002067,0.002096,0.0020815,1201
316,0.002096,0.002125,0.0021105,1201
317,0.002125,0.002154,0.0021395,1201
318,0.002154,0.002184,0.002169,1201
319,0.002184,0.002215,0.0021995,1201
320,0.002215,0.002246,0.0022305,1201
321,0.002246,0.002277,0.0022615,1201
322,0.002277,0.002309,0.002293,1201
323,0.002309,0.002341,0.002325,1201
324,0.002341,0.002373,0.002357,1201
325,0.002373,0.002406,0.0023895,1201
326,0.002406,0.00244,0.002423,1201
327,0.00244,0.002474,0.002457,1201
328,0.002474,0.002508,0.002491,1201
329,0.002508,0.002543,0.0025255,1201
330,0.002543,0.002579,0.002561,1201
331,0.002579,0.002615,0.002597,1201
332,0.002615,0.002651,0.002633,1201
333,0.002651,0.002688,0.0026695,1201
334,0.002688,0.002725,0.0027065,1201
335,0.002725,0.002763,0.002744,1201
336,0.002763,0.002802,0.0027825,1201
337,0.002802,0.002841,0.0028215,1201
338,0.002841,0.00288,0.0028605,1201
339,0.00288,0.002921,0.0029005,1201
340,0.002921,0.002961,0.002941,1201
341,0.002961,0.003002,0.0029815,1201
342,0.003002,0.003044,0.003023,1201
343,0.003044,0.003087,0.0030655,1201
344,0.003087,0.00313,0.0031085,1201
345,0.00313,0.003173,0.0031515,1201
346,0.003173,0.003217,0.003195,1201
347,0.003217,0.003262,0.0032395,1201
348,0.003262,0.003308,0.003285,1201
349,0.003308,0.003354,0.003331,1201
350,0.003354,0.0034,0.003377,1201
351,0.0034,0.003448,0.003424,1201
352,0.003448,0.003496,0.003472,1201
353,0.003496,0.003544,0.00352,1201
354,0.003544,0.003594,0.003569,1201
355,0.003594,0.003644,0.003619,1201
356,0.003644,0.003695,0.0036695,1201
357,0.003695,0.003746,0.0037205,1201
358,0.003746,0.003798,0.003772,1201
359,0.003798,0.003851,0.0038245,1201
360,0.003851,0.003905,0.003878,1201
361,0.003905,0.003959,0.003932,1201
362,0.003959,0.004014,0.0039865,1201
363,0.004014,0.00407,0.004042,1201
364,0.00407,0.004127,0.0040985,1201
365,0.004127,0.004184,0.0041555,1201
366,0.004184,0.004243,0.0042135,1201
367,0.004243,0.004302,0.0042725,1201
368,0.004302,0.004362,0.004332,1201
369,0.004362,0.004422,0.004392,1201
370,0.004422,0.004484,0.004453,1201
371,0.004484,0.004546,0.004515,1201
372,0.004546,0.00461,0.004578,1201
373,0.00461,0.004674,0.004642,1201
374,0.004674,0.004739,0.0047065,1201
375,0.004739,0.004805,0.004772,1201
376,0.004805,0.004872,0.0048385,1201
377,0.004872,0.00494,0.004906,1201
378,0.00494,0.005008,0.004974,1201
379,0.005008,0.005078,0.005043,1201
380,0.005078,0.005149,0.0051135,1201
381,0.005149,0.005221,0.005185,1201
382,0.005221,0.005293,0.005257,1201
383,0.005293,0.005367,0.00533,1201
384,0.005367,0.005442,0.0054045,1201
385,0.005442,0.005517,0.0054795,1201
386,0.005517,0.005594,0.0055555,1201
387,0.005594,0.005672,0.005633,1201
388,0.005672,0.005751,0.0057115,1201
389,0.005751,0.005831,0.005791,1201
390,0.005831,0.005913,0.005872,1201
391,0.005913,0.005995,0.005954,1201
392,0.005995,0.006078,0.0060365,1201
393,0.006078,0.006163,0.0061205,1201
394,0.006163,0.006249,0.006206,1201
395,0.006249,0.006336,0.0062925,1201
396,0.006336,0.006424,0.00638,1201
397,0.006424,0.006513,0.0064685,1201
398,0.006513,0.006604,0.0065585,1201
399,0.006604,0.006696,0.00665,1201
400,0.006696,0.006789,0.0067425,1201
401,0.006789,0.006884,0.0068365,1201
402,0.006884,0.00698,0.006932,1201
403,0.00698,0.007077,0.0070285,1201
404,0.007077,0.007176,0.0071265,1201
405,0.007176,0.007275,0.0072255,1201
406,0.007275,0.007377,0.007326,1201
407,0.007377,0.00748,0.0074285,1201
