areaperil_id,lon,lat,IMTs
290,-71.55,18.7,SA(0.3)
291,-71.55,18.75,SA(0.3)
292,-71.55,18.8,SA(0.3)
293,-71.55,18.85,SA(0.3)
294,-71.55,18.9,SA(0.3)
295,-71.55,18.95,SA(0.3)
296,-71.55,19.0,SA(0.3)
297,-71.55,19.05,SA(0.3)
298,-71.55,19.1,SA(0.3)
299,-71.55,19.15,SA(0.3)
300,-71.55,19.2,SA(0.3)
301,-71.55,19.25,SA(0.3)
302,-71.55,19.3,SA(0.3)
303,-71.55,19.35,SA(0.3)
304,-71.55,19.4,SA(0.3)
305,-71.55,19.45,SA(0.3)
306,-71.55,19.5,SA(0.3)
307,-71.55,19.55,SA(0.3)
308,-71.55,19.6,SA(0.3)
309,-71.55,19.65,SA(0.3)
310,-71.55,19.7,SA(0.3)
311,-71.55,19.75,SA(0.3)
312,-71.55,19.8,SA(0.3)
313,-71.55,19.85,SA(0.3)
314,-71.55,19.9,SA(0.3)
315,-71.55,19.95,SA(0.3)
316,-71.55,20.0,SA(0.3)
317,-71.5,17.45,SA(0.3)
318,-71.5,17.5,SA(0.3)
319,-71.5,17.55,SA(0.3)
320,-71.5,17.6,SA(0.3)
321,-71.5,17.65,SA(0.3)
322,-71.5,17.7,SA(0.3)
323,-71.5,17.75,SA(0.3)
324,-71.5,17.8,SA(0.3)
325,-71.5,17.85,SA(0.3)
326,-71.5,17.9,SA(0.3)
327,-71.5,17.95,SA(0.3)
328,-71.5,18.0,SA(0.3)
329,-71.5,18.05,SA(0.3)
330,-71.5,18.1,SA(0.3)
331,-71.5,18.15,SA(0.3)
332,-71.5,18.2,SA(0.3)
333,-71.5,18.25,SA(0.3)
334,-71.5,18.3,SA(0.3)
335,-71.5,18.35,SA(0.3)
336,-71.5,18.4,SA(0.3)
337,-71.5,18.45,SA(0.3)
338,-71.5,18.5,SA(0.3)
339,-71.5,18.55,SA(0.3)
340,-71.5,18.6,SA(0.3)
341,-71.5,18.65,SA(0.3)
342,-71.5,18.7,SA(0.3)
343,-71.5,18.75,SA(0.3)
344,-71.5,18.8,SA(0.3)
345,-71.5,18.85,SA(0.3)
346,-71.5,18.9,SA(0.3)
347,-71.5,18.95,SA(0.3)
348,-71.5,19.0,SA(0.3)
349,-71.5,19.05,SA(0.3)
350,-71.5,19.1,SA(0.3)
351,-71.5,19.15,SA(0.3)
352,-71.5,19.2,SA(0.3)
353,-71.5,19.25,SA(0.3)
354,-71.5,19.3,SA(0.3)
355,-71.5,19.35,SA(0.3)
356,-71.5,19.4,SA(0.3)
357,-71.5,19.45,SA(0.3)
358,-71.5,19.5,SA(0.3)
359,-71.5,19.55,SA(0.3)
360,-71.5,19.6,SA(0.3)
361,-71.5,19.65,SA(0.3)
362,-71.5,19.7,SA(0.3)
363,-71.5,19.75,SA(0.3)
364,-71.5,19.8,SA(0.3)
365,-71.5,19.85,SA(0.3)
366,-71.5,19.9,SA(0.3)
367,-71.5,19.95,SA(0.3)
368,-71.5,20.0,SA(0.3)
369,-71.45,17.5,SA(0.3)
370,-71.45,17.55,SA(0.3)
371,-71.45,17.6,SA(0.3)
372,-71.45,17.65,SA(0.3)
373,-71.45,17.7,SA(0.3)
374,-71.45,17.75,SA(0.3)
375,-71.45,17.8,SA(0.3)
376,-71.45,17.85,SA(0.3)
377,-71.45,17.9,SA(0.3)
378,-71.45,17.95,SA(0.3)
379,-71.45,18.0,SA(0.3)
380,-71.45,18.05,SA(0.3)
381,-71.45,18.1,SA(0.3)
382,-71.45,18.15,SA(0.3)
383,-71.45,18.2,SA(0.3)
384,-71.45,18.25,SA(0.3)
385,-71.45,18.3,SA(0.3)
386,-71.45,18.35,SA(0.3)
387,-71.45,18.4,SA(0.3)
388,-71.45,18.45,SA(0.3)
389,-71.45,18.5,SA(0.3)
390,-71.45,18.55,SA(0.3)
391,-71.45,18.6,SA(0.3)
392,-71.45,18.65,SA(0.3)
393,-71.45,18.7,SA(0.3)
394,-71.45,18.75,SA(0.3)
395,-71.45,18.8,SA(0.3)
396,-71.45,18.85,SA(0.3)
397,-71.45,18.9,SA(0.3)
398,-71.45,18.95,SA(0.3)
399,-71.45,19.0,SA(0.3)
400,-71.45,19.05,SA(0.3)
401,-71.45,19.1,SA(0.3)
402,-71.45,19.15,SA(0.3)
403,-71.45,19.2,SA(0.3)
404,-71.45,19.25,SA(0.3)
405,-71.45,19.3,SA(0.3)
406,-71.45,19.35,SA(0.3)
407,-71.45,19.4,SA(0.3)
408,-71.45,19.45,SA(0.3)
409,-71.45,19.5,SA(0.3)
410,-71.45,19.55,SA(0.3)
411,-71.45,19.6,SA(0.3)
412,-71.45,19.65,SA(0.3)
413,-71.45,19.7,SA(0.3)
414,-71.45,19.75,SA(0.3)
415,-71.45,19.8,SA(0.3)
416,-71.45,19.85,SA(0.3)
417,-71.45,19.9,SA(0.3)
418,-71.45,19.95,SA(0.3)
419,-71.4,17.55,SA(0.3)
420,-71.4,17.6,SA(0.3)
421,-71.4,17.65,SA(0.3)
422,-71.4,17.7,SA(0.3)
423,-71.4,17.75,SA(0.3)
424,-71.4,17.8,SA(0.3)
425,-71.4,17.85,SA(0.3)
426,-71.4,17.9,SA(0.3)
427,-71.4,17.95,SA(0.3)
428,-71.4,18.0,SA(0.3)
429,-71.4,18.05,SA(0.3)
430,-71.4,18.1,SA(0.3)
431,-71.4,18.15,SA(0.3)
432,-71.4,18.2,SA(0.3)
433,-71.4,18.25,SA(0.3)
434,-71.4,18.3,SA(0.3)
435,-71.4,18.35,SA(0.3)
436,-71.4,18.4,SA(0.3)
437,-71.4,18.45,SA(0.3)
438,-71.4,18.5,SA(0.3)
439,-71.4,18.55,SA(0.3)
440,-71.4,18.6,SA(0.3)
441,-71.4,18.65,SA(0.3)
442,-71.4,18.7,SA(0.3)
443,-71.4,18.75,SA(0.3)
444,-71.4,18.8,SA(0.3)
445,-71.4,18.85,SA(0.3)
446,-71.4,18.9,SA(0.3)
447,-71.4,18.95,SA(0.3)
448,-71.4,19.0,SA(0.3)
449,-71.4,19.05,SA(0.3)
450,-71.4,19.1,SA(0.3)
451,-71.4,19.15,SA(0.3)
452,-71.4,19.2,SA(0.3)
453,-71.4,19.25,SA(0.3)
454,-71.4,19.3,SA(0.3)
455,-71.4,19.35,SA(0.3)
456,-71.4,19.4,SA(0.3)
457,-71.4,19.45,SA(0.3)
458,-71.4,19.5,SA(0.3)
459,-71.4,19.55,SA(0.3)
460,-71.4,19.6,SA(0.3)
461,-71.4,19.65,SA(0.3)
462,-71.4,19.7,SA(0.3)
463,-71.4,19.75,SA(0.3)
464,-71.4,19.8,SA(0.3)
465,-71.4,19.85,SA(0.3)
466,-71.4,19.9,SA(0.3)
467,-71.4,19.95,SA(0.3)
468,-71.35,17.55,SA(0.3)
469,-71.35,17.6,SA(0.3)
470,-71.35,17.65,SA(0.3)
471,-71.35,17.7,SA(0.3)
472,-71.35,17.75,SA(0.3)
473,-71.35,17.8,SA(0.3)
474,-71.35,17.85,SA(0.3)
475,-71.35,17.9,SA(0.3)
476,-71.35,17.95,SA(0.3)
477,-71.35,18.0,SA(0.3)
478,-71.35,18.05,SA(0.3)
479,-71.35,18.1,SA(0.3)
480,-71.35,18.15,SA(0.3)
481,-71.35,18.2,SA(0.3)
482,-71.35,18.25,SA(0.3)
483,-71.35,18.3,SA(0.3)
484,-71.35,18.35,SA(0.3)
485,-71.35,18.4,SA(0.3)
486,-71.35,18.45,SA(0.3)
487,-71.35,18.5,SA(0.3)
488,-71.35,18.55,SA(0.3)
489,-71.35,18.6,SA(0.3)
490,-71.35,18.65,SA(0.3)
491,-71.35,18.7,SA(0.3)
492,-71.35,18.75,SA(0.3)
493,-71.35,18.8,SA(0.3)
494,-71.35,18.85,SA(0.3)
495,-71.35,18.9,SA(0.3)
496,-71.35,18.95,SA(0.3)
497,-71.35,19.0,SA(0.3)
498,-71.35,19.05,SA(0.3)
499,-71.35,19.1,SA(0.3)
500,-71.35,19.15,SA(0.3)
501,-71.35,19.2,SA(0.3)
502,-71.35,19.25,SA(0.3)
503,-71.35,19.3,SA(0.3)
504,-71.35,19.35,SA(0.3)
505,-71.35,19.4,SA(0.3)
506,-71.35,19.45,SA(0.3)
507,-71.35,19.5,SA(0.3)
508,-71.35,19.55,SA(0.3)
509,-71.35,19.6,SA(0.3)
510,-71.35,19.65,SA(0.3)
511,-71.35,19.7,SA(0.3)
512,-71.35,19.75,SA(0.3)
513,-71.35,19.8,SA(0.3)
514,-71.35,19.85,SA(0.3)
515,-71.35,19.9,SA(0.3)
516,-71.35,19.95,SA(0.3)
517,-71.3,17.6,SA(0.3)
518,-71.3,17.65,SA(0.3)
519,-71.3,17.7,SA(0.3)
520,-71.3,17.75,SA(0.3)
521,-71.3,17.8,SA(0.3)
522,-71.3,17.85,SA(0.3)
523,-71.3,17.9,SA(0.3)
524,-71.3,17.95,SA(0.3)
525,-71.3,18.0,SA(0.3)
526,-71.3,18.05,SA(0.3)
527,-71.3,18.1,SA(0.3)
528,-71.3,18.15,SA(0.3)
529,-71.3,18.2,SA(0.3)
530,-71.3,18.25,SA(0.3)
531,-71.3,18.3,SA(0.3)
532,-71.3,18.35,SA(0.3)
533,-71.3,18.4,SA(0.3)
534,-71.3,18.45,SA(0.3)
535,-71.3,18.5,SA(0.3)
536,-71.3,18.55,SA(0.3)
537,-71.3,18.6,SA(0.3)
538,-71.3,18.65,SA(0.3)
539,-71.3,18.7,SA(0.3)
540,-71.3,18.75,SA(0.3)
541,-71.3,18.8,SA(0.3)
542,-71.3,18.85,SA(0.3)
543,-71.3,18.9,SA(0.3)
544,-71.3,18.95,SA(0.3)
545,-71.3,19.0,SA(0.3)
546,-71.3,19.05,SA(0.3)
547,-71.3,19.1,SA(0.3)
548,-71.3,19.15,SA(0.3)
549,-71.3,19.2,SA(0.3)
550,-71.3,19.25,SA(0.3)
